[0003|0.24] bce:  0.00130 | dice:  0.27720 | iou_background:  0.66106 | iou_ring:  0.61253 | iou_boundary:  0.57274 | iou_center:  0.00000 | lr:  0.00100
[0003|0.27] bce:  0.00127 | dice:  0.27640 | iou_background:  0.64203 | iou_ring:  0.61727 | iou_boundary:  0.57350 | iou_center:  0.00000 | lr:  0.00100
[0003|0.29] bce:  0.00124 | dice:  0.27370 | iou_background:  0.64989 | iou_ring:  0.61231 | iou_boundary:  0.57685 | iou_center:  0.00000 | lr:  0.00100
[0003|0.31] bce:  0.00126 | dice:  0.27641 | iou_background:  0.65338 | iou_ring:  0.61157 | iou_boundary:  0.57348 | iou_center:  0.00000 | lr:  0.00100
[0003|0.33] bce:  0.00125 | dice:  0.27479 | iou_background:  0.64380 | iou_ring:  0.61499 | iou_boundary:  0.57626 | iou_center:  0.00000 | lr:  0.00100
[0003|0.36] bce:  0.00125 | dice:  0.27245 | iou_background:  0.63503 | iou_ring:  0.61997 | iou_boundary:  0.57927 | iou_center:  0.00000 | lr:  0.00100
[0003|0.38] bce:  0.00123 | dice:  0.27213 | iou_background:  0.63726 | iou_ring:  0.62075 | iou_boundary:  0.57960 | iou_center:  0.00000 | lr:  0.00100
[0003|0.40] bce:  0.00126 | dice:  0.27450 | iou_background:  0.63208 | iou_ring:  0.62428 | iou_boundary:  0.57684 | iou_center:  0.00000 | lr:  0.00100
[0003|0.42] bce:  0.00128 | dice:  0.27508 | iou_background:  0.62604 | iou_ring:  0.62230 | iou_boundary:  0.57622 | iou_center:  0.00000 | lr:  0.00100
[0003|0.44] bce:  0.00129 | dice:  0.27283 | iou_background:  0.62223 | iou_ring:  0.62591 | iou_boundary:  0.57908 | iou_center:  0.00000 | lr:  0.00100
[0003|0.47] bce:  0.00129 | dice:  0.27473 | iou_background:  0.63157 | iou_ring:  0.62709 | iou_boundary:  0.57725 | iou_center:  0.00000 | lr:  0.00100
[0003|0.49] bce:  0.00129 | dice:  0.27742 | iou_background:  0.63450 | iou_ring:  0.62217 | iou_boundary:  0.57402 | iou_center:  0.00000 | lr:  0.00100
[0003|0.51] bce:  0.00130 | dice:  0.27707 | iou_background:  0.63041 | iou_ring:  0.62209 | iou_boundary:  0.57421 | iou_center:  0.00000 | lr:  0.00100
[0003|0.53] bce:  0.00133 | dice:  0.27629 | iou_background:  0.63533 | iou_ring:  0.61597 | iou_boundary:  0.57505 | iou_center:  0.00000 | lr:  0.00100
